19:22:19:284 [ALWAYS]	GUDE Logging Started
19:22:19:285 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:22:19:285 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:22:19:285 [ERROR]	Initialize resume cache pointer failure
19:22:19:285 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:22:19:285 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:22:20:459 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:22:20:459 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:22:20:459 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:22:20:461 [ERROR]	Initialize resume cache pointer failure
19:22:20:461 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:22:20:461 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
