21:37:31:975 [ALWAYS]	GUDE Logging Started
21:37:31:975 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:37:31:975 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:37:31:975 [ERROR]	Initialize resume cache pointer failure
21:37:31:975 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
21:37:31:975 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
21:37:32:876 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
21:37:32:876 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:37:32:876 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:37:32:878 [ERROR]	Initialize resume cache pointer failure
21:37:32:878 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
21:37:32:878 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
21:37:32:881 [WARN]	WGudeRequest::applyAutoDetectProxyAutoConfigSettings Failed to autodetect proxy settings. WinHTTP Unable To Download Script. last error code = 12167 
21:37:33:059 [WARN]	WGudeRequest::applyAutoDetectProxyAutoConfigSettings Failed to autodetect proxy settings. WinHTTP Unable To Download Script. last error code = 12167 
